"","oneTm","Date","TacklesComb","TacklesTFL","TacklesQBHits","DefInterceptionsQBHits","DefInterceptionsInt","DefInterceptionsYds","DefInterceptionsTD","KickReturnsRt","KickReturnsYds","KickReturnsYRt","KickReturnsTD","PuntReturnsYds","PuntReturnsTD","RushingYds","PassingYds","ReceivingYds","ReceivingTD","RushingTD"
"55","IND","2018-10-04",42.2,4.6,2.8,0.4,0.4,8.6,0,0,0,0,0,0,0,255.8,855.8,560.4,3.2,2.2
"56","IND","2018-09-30",32,3.8,1.8,0.2,0.4,8.6,0,0,0,0,0,0,0,145.2,469.6,302.4,1.6,1.6
"57","IND","2018-09-23",20.4,2,1,0.2,0.2,6.4,0,0,0,0,0,0,0,78.4,211,130.8,0.6,0.4
"58","IND","2018-09-16",8,0.6,0.4,0.2,0.2,6.4,0,0,0,0,0,0,0,43.8,101.6,55.6,0.4,0.2
"59","HOU","2018-09-30",29.5,0.75,0,0,0.25,0.25,0,0,0,0,0,0,0,115.25,490.75,301.5,1,0.5
"60","HOU","2018-09-23",18,0,0,0,0.25,0.25,0,0,0,0,0,0,0,27.75,230.5,94.25,0.25,0
"61","HOU","2018-09-16",10.75,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.5,69.25,36.25,0.25,0
"62","GNB","2018-09-30",39,1.75,1.25,0.5,0.5,6.25,0,0,0,0,0,11.5,0,208.5,686.25,536,2.75,1.25
"63","GNB","2018-09-23",26.25,1.5,0.75,0.5,0.25,6,0,0,0,0,0,4.25,0,85.75,260,239,1.5,0.25
"64","GNB","2018-09-16",13.5,1,0.5,0.25,0,0,0,0,0,0,0,4.25,0,34.75,42.75,37.75,0,0.25
"65","DET","2018-09-30",27.25,2.5,2.75,0,0.5,14,0.25,0,0,0,0,0,0,118.25,515.75,291.25,1.5,0.25
"66","DET","2018-09-23",20,2.25,2,0,0.25,9.25,0.25,0,0,0,0,0,0,86,292,192.25,0.75,0.25
"67","DET","2018-09-16",8.25,0.5,0.25,0,0.25,9.25,0.25,0,0,0,0,0,0,17.5,49.5,35.75,0.5,0
"68","DEN","2018-10-01",30.75,2.25,2.75,0,0.25,0,0,0,0,0,0,0,0,181,878.25,619.25,4,1.5
"69","DEN","2018-09-23",20.75,1.75,2.25,0,0.25,0,0,0,0,0,0,0,0,53.25,278.75,209,1.25,0.5
"70","DEN","2018-09-16",9.5,1.25,2,0,0.25,0,0,0,0,0,0,0,0,14,74.5,62.25,0.75,0
